Theta,	Phi,	Horizontal Power Gain,	Vertical Power Gain,	Total Power Gain,	etheta_magnitude,	etheta_phase,	ephi_magnitude,	ephi_phase
86.4,	-54  ,	-31.0036  ,	-9.53212  ,	-9.50128  ,	0.00112058  ,	-12.7199  ,	0.0117484  ,	-130.25
93.6,	-54  ,	-28.5415  ,	-5.65927  ,	-5.63696  ,	0.0015121  ,	-101.391  ,	0.0183524  ,	-162.127
100.8,	-54  ,	-26.3118  ,	-3.23336  ,	-3.21204  ,	0.00372465  ,	-160.384  ,	0.0240582  ,	172.116
108,	-54  ,	-24.4771  ,	-2.0562  ,	-2.0314  ,	0.00773914  ,	165.633  ,	0.0267941  ,	149.239
115.2,	-54  ,	-23.2769  ,	-1.94986  ,	-1.91798  ,	0.0135827  ,	139.701  ,	0.0247772  ,	128.039
122.4,	-54  ,	-23.387  ,	-2.29733  ,	-2.26367  ,	0.0213058  ,	117.62  ,	0.0168338  ,	107.254
129.6,	-54  ,	-26.0135  ,	-1.14985  ,	-1.1357  ,	0.0307683  ,	98.2279  ,	0.00304803  ,	62.7492
136.8,	-54  ,	-28.131  ,	2.1107  ,	2.1148  ,	0.0415507  ,	81.2109  ,	0.0171531  ,	-93.7916
144,	-54  ,	-25.5867  ,	5.52249  ,	5.52585  ,	0.0529529  ,	66.5478  ,	0.0403488  ,	-110.145
151.2,	-54  ,	-21.6854  ,	8.2398  ,	8.24422  ,	0.064079  ,	54.3208  ,	0.064666  ,	-122.025
158.4,	-54  ,	-18.5179  ,	10.2239  ,	10.2297  ,	0.0739776  ,	44.6416  ,	0.0872851  ,	-131.114
165.6,	-54  ,	-16.3348  ,	11.5671  ,	11.5742  ,	0.0817886  ,	37.6173  ,	0.105604  ,	-137.62
172.8,	-54  ,	-15.0551  ,	12.3494  ,	12.3572  ,	0.0868513  ,	33.332  ,	0.117575  ,	-141.559
180,	-54  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.0887559  ,	31.8359  ,	0.121896  ,	-142.926
187.2,	-54  ,	-14.9789  ,	12.3919  ,	12.3998  ,	0.0873526  ,	33.1389  ,	0.118098  ,	-141.734
194.4,	-54  ,	-16.2503  ,	11.6541  ,	11.6611  ,	0.0827461  ,	37.2101  ,	0.106562  ,	-138.031
201.6,	-54  ,	-18.6476  ,	10.3591  ,	10.3646  ,	0.0752925  ,	43.9825  ,	0.0885183  ,	-131.903
208.8,	-54  ,	-22.7686  ,	8.42948  ,	8.43277  ,	0.0655938  ,	53.3624  ,	0.0659774  ,	-123.482
216,	-54  ,	-30.7389  ,	5.77277  ,	5.77374  ,	0.0544643  ,	65.2454  ,	0.0415453  ,	-112.979
223.2,	-54  ,	-46.8998  ,	2.40903  ,	2.40908  ,	0.0428469  ,	79.5404  ,	0.0180692  ,	-101.008
230.4,	-54  ,	-38.1112  ,	-0.908773  ,	-0.907946  ,	0.0316826  ,	96.2118  ,	0.00191473  ,	109.458
237.6,	-54  ,	-37.8639  ,	-2.24656  ,	-2.24537  ,	0.0217652  ,	115.368  ,	0.016331  ,	113.391
244.8,	-54  ,	-28.3824  ,	-1.99559  ,	-1.98562  ,	0.0136327  ,	137.482  ,	0.0244992  ,	131.019
252,	-54  ,	-26.4683  ,	-2.11082  ,	-2.09493  ,	0.0075342  ,	164.05  ,	0.0266413  ,	150.73
259.2,	-54  ,	-26.836  ,	-3.27751  ,	-3.25841  ,	0.00348939  ,	-159.98  ,	0.0239625  ,	172.406
266.4,	-54  ,	-28.7131  ,	-5.70374  ,	-5.68208  ,	0.00143697  ,	-99.1417  ,	0.0182627  ,	-163.278
273.6,	-54  ,	-32.7749  ,	-9.6659  ,	-9.64472  ,	0.000893507  ,	-18.8456  ,	0.011574  ,	-133.811
280.8,	-54  ,	-50.6271  ,	-15.3429  ,	-15.3416  ,	0.000469602  ,	77.2795  ,	0.00600631  ,	-89.9291
288,	-54  ,	-34.695  ,	-18.7457  ,	-18.6367  ,	0.00138987  ,	-168.898  ,	0.00388126  ,	-18.2271
295.2,	-54  ,	-34.7675  ,	-16.6473  ,	-16.5809  ,	0.00333132  ,	-130.332  ,	0.00402339  ,	35.254
302.4,	-54  ,	-34.0651  ,	-14.9198  ,	-14.8673  ,	0.005657  ,	-102.906  ,	0.00291256  ,	61.5569
309.6,	-54  ,	-32.7223  ,	-12.7809  ,	-12.7371  ,	0.00808776  ,	-79.4849  ,	0.000838918  ,	-3.26958
316.8,	-54  ,	-33.6331  ,	-9.84817  ,	-9.83004  ,	0.0103948  ,	-58.7438  ,	0.00459061  ,	-48.7065
324,	-54  ,	-36.8858  ,	-7.11159  ,	-7.10701  ,	0.0124078  ,	-40.5144  ,	0.00936853  ,	-36.6486
331.2,	-54  ,	-42.57  ,	-5.01298  ,	-5.01222  ,	0.0140229  ,	-25.0278  ,	0.0139613  ,	-23.5098
338.4,	-54  ,	-51.0116  ,	-3.5424  ,	-3.54233  ,	0.0151974  ,	-12.6848  ,	0.0178412  ,	-12.1936
345.6,	-54  ,	-54.9538  ,	-2.5966  ,	-2.59657  ,	0.0159348  ,	-3.93565  ,	0.0207121  ,	-3.64986
352.8,	-54  ,	-46.8514  ,	-2.08666  ,	-2.08651  ,	0.016268  ,	0.821572  ,	0.0224357  ,	1.51815
0,	-50.4  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0176553  ,	1.47125  ,	0.021899  ,	2.99479
7.2,	-50.4  ,	-34.6087  ,	-2.17049  ,	-2.16801  ,	0.0173414  ,	-2.16403  ,	0.021284  ,	0.629907
14.4,	-50.4  ,	-31.4495  ,	-2.73854  ,	-2.7327  ,	0.0167107  ,	-9.71738  ,	0.0195598  ,	-5.46358
21.6,	-50.4  ,	-29.5652  ,	-3.71437  ,	-3.70309  ,	0.0157379  ,	-20.7007  ,	0.0167817  ,	-14.851
28.8,	-50.4  ,	-28.6667  ,	-5.19917  ,	-5.17967  ,	0.0143573  ,	-34.5631  ,	0.013062  ,	-26.8527
36,	-50.4  ,	-28.6438  ,	-7.33107  ,	-7.29909  ,	0.01251  ,	-50.8737  ,	0.00864662  ,	-40.3606
43.2,	-50.4  ,	-29.6552  ,	-10.1802  ,	-10.1314  ,	0.0102145  ,	-69.4798  ,	0.00401667  ,	-51.5148
50.4,	-50.4  ,	-32.7166  ,	-13.2946  ,	-13.2453  ,	0.00761381  ,	-90.7006  ,	0.000919501  ,	26.7037
57.6,	-50.4  ,	-40.9904  ,	-15.2834  ,	-15.2718  ,	0.00497517  ,	-115.908  ,	0.00348308  ,	57.774
64.8,	-50.4  ,	-57.0735  ,	-16.2261  ,	-16.2258  ,	0.00265929  ,	-150.122  ,	0.00474745  ,	31.097
72,	-50.4  ,	-40.1942  ,	-17.1705  ,	-17.1489  ,	0.00119754  ,	146.018  ,	0.00474406  ,	-16.7628
79.2,	-50.4  ,	-34.1759  ,	-14.7792  ,	-14.7295  ,	0.00110303  ,	58.0147  ,	0.00636966  ,	-82.9114
86.4,	-50.4  ,	-31.4307  ,	-9.84894  ,	-9.81887  ,	0.0011036  ,	-9.2006  ,	0.0113243  ,	-130.168
93.6,	-50.4  ,	-28.9124  ,	-6.02967  ,	-6.00736  ,	0.00150074  ,	-104.582  ,	0.0175819  ,	-161.982
100.8,	-50.4  ,	-26.5177  ,	-3.60574  ,	-3.58359  ,	0.00399894  ,	-162.822  ,	0.0229801  ,	172.264
108,	-50.4  ,	-24.5433  ,	-2.37068  ,	-2.34443  ,	0.00843507  ,	164.459  ,	0.0255456  ,	149.391
115.2,	-50.4  ,	-23.3726  ,	-2.07256  ,	-2.04049  ,	0.0148355  ,	139.134  ,	0.0235818  ,	128.204
122.4,	-50.4  ,	-23.7999  ,	-1.96093  ,	-1.93259  ,	0.0232493  ,	117.36  ,	0.0159746  ,	107.442
129.6,	-50.4  ,	-26.601  ,	-0.414109  ,	-0.403672  ,	0.0335195  ,	98.1408  ,	0.00281686  ,	62.238
136.8,	-50.4  ,	-28.2864  ,	2.69773  ,	2.70119  ,	0.0451923  ,	81.2422  ,	0.0164454  ,	-93.721
144,	-50.4  ,	-25.5251  ,	5.86341  ,	5.86656  ,	0.0575162  ,	66.6757  ,	0.0385438  ,	-109.986
151.2,	-50.4  ,	-21.6169  ,	8.42103  ,	8.42533  ,	0.069531  ,	54.535  ,	0.0616943  ,	-121.832
158.4,	-50.4  ,	-18.4742  ,	10.3121  ,	10.3178  ,	0.0802174  ,	44.9326  ,	0.0832168  ,	-130.899
165.6,	-50.4  ,	-16.3149  ,	11.6026  ,	11.6096  ,	0.0886537  ,	37.9713  ,	0.100639  ,	-137.388
172.8,	-50.4  ,	-15.051  ,	12.3576  ,	12.3655  ,	0.0941303  ,	33.7295  ,	0.112014  ,	-141.316
180,	-50.4  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.0962052  ,	32.2521  ,	0.116106  ,	-142.675
187.2,	-50.4  ,	-14.9674  ,	12.4005  ,	12.4084  ,	0.0947136  ,	33.5455  ,	0.11247  ,	-141.478
194.4,	-50.4  ,	-16.2057  ,	11.6899  ,	11.697  ,	0.0897627  ,	37.5777  ,	0.10147  ,	-137.773
201.6,	-50.4  ,	-18.5337  ,	10.4475  ,	10.453  ,	0.08173  ,	44.2819  ,	0.0842755  ,	-131.643
208.8,	-50.4  ,	-22.4947  ,	8.60962  ,	8.61299  ,	0.071259  ,	53.5662  ,	0.0628048  ,	-123.218
216,	-50.4  ,	-29.869  ,	6.10953  ,	6.11063  ,	0.0592239  ,	65.327  ,	0.0395396  ,	-112.702
223.2,	-50.4  ,	-59.4962  ,	2.9883  ,	2.9883  ,	0.0466406  ,	79.4701  ,	0.0171905  ,	-100.663
230.4,	-50.4  ,	-39.1162  ,	-0.165908  ,	-0.165355  ,	0.0345255  ,	95.9474  ,	0.00181793  ,	108.356
237.6,	-50.4  ,	-40.8565  ,	-1.882  ,	-1.88145  ,	0.0237391  ,	114.835  ,	0.0155435  ,	113.428
244.8,	-50.4  ,	-29.4473  ,	-2.11403  ,	-2.10602  ,	0.0148677  ,	136.531  ,	0.0233135  ,	131.1
252,	-50.4  ,	-27.0677  ,	-2.44512  ,	-2.43016  ,	0.00818687  ,	162.364  ,	0.0253487  ,	150.82
259.2,	-50.4  ,	-27.2716  ,	-3.68767  ,	-3.66868  ,	0.00372068  ,	-163.008  ,	0.0227964  ,	172.501
266.4,	-50.4  ,	-29.0782  ,	-6.13775  ,	-6.11574  ,	0.00141813  ,	-102.181  ,	0.0173692  ,	-163.159
273.6,	-50.4  ,	-33.1038  ,	-10.1043  ,	-10.0826  ,	0.000879095  ,	-16.1409  ,	0.0110027  ,	-133.603
280.8,	-50.4  ,	-53.6893  ,	-15.7671  ,	-15.7664  ,	0.000479449  ,	81.8085  ,	0.00571699  ,	-89.4193
288,	-50.4  ,	-33.4825  ,	-18.994  ,	-18.8422  ,	0.00149104  ,	-165.631  ,	0.00373996  ,	-17.6006
295.2,	-50.4  ,	-33.3636  ,	-16.5514  ,	-16.4619  ,	0.00358739  ,	-128.044  ,	0.0038954  ,	35.4721
302.4,	-50.4  ,	-33.422  ,	-14.441  ,	-14.3864  ,	0.0060977  ,	-101.235  ,	0.00283604  ,	61.8829
309.6,	-50.4  ,	-33.311  ,	-12.132  ,	-12.099  ,	0.00871658  ,	-78.296  ,	0.000775703  ,	0.624322
316.8,	-50.4  ,	-35.0305  ,	-9.36668  ,	-9.35491  ,	0.0111979  ,	-57.9362  ,	0.00431982  ,	-49.0355
324,	-50.4  ,	-39.1807  ,	-6.83539  ,	-6.83286  ,	0.0133639  ,	-39.9965  ,	0.00888146  ,	-36.9965
331.2,	-50.4  ,	-47.0423  ,	-4.87331  ,	-4.87305  ,	0.0151104  ,	-24.7153  ,	0.013266  ,	-23.815
338.4,	-50.4  ,	-67.479  ,	-3.48243  ,	-3.48243  ,	0.016397  ,	-12.5041  ,	0.0169716  ,	-12.4317
345.6,	-50.4  ,	-75.8741  ,	-2.5794  ,	-2.5794  ,	0.0172274  ,	-3.82477  ,	0.0197187  ,	-3.79975
352.8,	-50.4  ,	-48.5127  ,	-2.08747  ,	-2.08737  ,	0.017632  ,	0.9163  ,	0.0213769  ,	1.47335
0,	-46.8  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0189951  ,	1.58153  ,	0.0207477  ,	3.07619
7.2,	-46.8  ,	-34.34  ,	-2.15192  ,	-2.1493  ,	0.0187007  ,	-1.96465  ,	0.0201809  ,	0.859729
14.4,	-46.8  ,	-31.1658  ,	-2.68113  ,	-2.67498  ,	0.0180598  ,	-9.38346  ,	0.0185615  ,	-5.0695
21.6,	-46.8  ,	-29.3403  ,	-3.5908  ,	-3.57926  ,	0.017044  ,	-20.1815  ,	0.0159411  ,	-14.2622
28.8,	-46.8  ,	-28.5193  ,	-4.96869  ,	-4.94956  ,	0.0155817  ,	-33.7956  ,	0.0124281  ,	-25.9962
36,	-46.8  ,	-28.5201  ,	-6.93251  ,	-6.90248  ,	0.0136072  ,	-49.7762  ,	0.0082597  ,	-39.0282
43.2,	-46.8  ,	-29.2913  ,	-9.54816  ,	-9.50233  ,	0.0111359  ,	-67.9444  ,	0.00390378  ,	-48.8901
50.4,	-46.8  ,	-31.152  ,	-12.5326  ,	-12.4733  ,	0.00831843  ,	-88.5761  ,	0.00102983  ,	19.9145
57.6,	-46.8  ,	-35.2233  ,	-14.9111  ,	-14.8709  ,	0.00544206  ,	-112.943  ,	0.00329165  ,	54.5929
64.8,	-46.8  ,	-43.8818  ,	-16.3844  ,	-16.3767  ,	0.00289621  ,	-145.765  ,	0.00449563  ,	28.9281
72,	-46.8  ,	-45.0772  ,	-17.4574  ,	-17.4499  ,	0.00124756  ,	152.055  ,	0.00455858  ,	-18.5599
79.2,	-46.8  ,	-34.8747  ,	-15.0439  ,	-14.999  ,	0.00111938  ,	61.5992  ,	0.00616623  ,	-83.3549
86.4,	-46.8  ,	-31.9135  ,	-10.2181  ,	-10.1888  ,	0.00108559  ,	-5.59764  ,	0.0108494  ,	-130.025
93.6,	-46.8  ,	-29.3481  ,	-6.4498  ,	-6.42758  ,	0.00148831  ,	-107.84  ,	0.0167464  ,	-161.759
100.8,	-46.8  ,	-26.814  ,	-4.02147  ,	-3.9987  ,	0.00426347  ,	-164.961  ,	0.0218243  ,	172.501
108,	-46.8  ,	-24.7548  ,	-2.71168  ,	-2.68463  ,	0.00910015  ,	163.444  ,	0.0242154  ,	149.644
115.2,	-46.8  ,	-23.6992  ,	-2.19155  ,	-2.16097  ,	0.0160311  ,	138.634  ,	0.022315  ,	128.488
122.4,	-46.8  ,	-24.5007  ,	-1.63098  ,	-1.60861  ,	0.0251031  ,	117.118  ,	0.0150727  ,	107.795
129.6,	-46.8  ,	-27.4341  ,	0.234713  ,	0.242135  ,	0.0361424  ,	98.0485  ,	0.00257486  ,	62.4234
136.8,	-46.8  ,	-28.6101  ,	3.22859  ,	3.23143  ,	0.048662  ,	81.2542  ,	0.015657  ,	-93.7139
144,	-46.8  ,	-25.5185  ,	6.18744  ,	6.19037  ,	0.061861  ,	66.7742  ,	0.0365793  ,	-109.828
151.2,	-46.8  ,	-21.5582  ,	8.59929  ,	8.60347  ,	0.0747182  ,	54.7112  ,	0.0584786  ,	-121.624
158.4,	-46.8  ,	-18.4302  ,	10.4007  ,	10.4064  ,	0.0861505  ,	45.1778  ,	0.0788243  ,	-130.662
165.6,	-46.8  ,	-16.2936  ,	11.6386  ,	11.6456  ,	0.0951779  ,	38.2729  ,	0.0952828  ,	-137.132
172.8,	-46.8  ,	-15.0463  ,	12.3661  ,	12.374  ,	0.101045  ,	34.07  ,	0.106017  ,	-141.046
180,	-46.8  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.103279  ,	32.6097  ,	0.109862  ,	-142.396
187.2,	-46.8  ,	-14.9556  ,	12.4091  ,	12.4171  ,	0.101701  ,	33.8957  ,	0.106397  ,	-141.194
194.4,	-46.8  ,	-16.1595  ,	11.7261  ,	11.7332  ,	0.0964213  ,	37.8948  ,	0.0959682  ,	-137.485
201.6,	-46.8  ,	-18.416  ,	10.5357  ,	10.5413  ,	0.0878374  ,	44.541  ,	0.0796853  ,	-131.353
208.8,	-46.8  ,	-22.2183  ,	8.78605  ,	8.7895  ,	0.0766328  ,	53.7439  ,	0.0593628  ,	-122.923
216,	-46.8  ,	-29.069  ,	6.42869  ,	6.42992  ,	0.063739  ,	65.4006  ,	0.0373503  ,	-112.394
223.2,	-46.8  ,	-53.1479  ,	3.51108  ,	3.51109  ,	0.0502407  ,	79.4148  ,	0.0162115  ,	-100.297
230.4,	-46.8  ,	-40.0891  ,	0.485852  ,	0.486233  ,	0.0372255  ,	95.7281  ,	0.00175193  ,	107.224
237.6,	-46.8  ,	-45.2679  ,	-1.5292  ,	-1.52901  ,	0.0256165  ,	114.39  ,	0.0147309  ,	113.527
244.8,	-46.8  ,	-30.7877  ,	-2.22757  ,	-2.22153  ,	0.0160461  ,	135.733  ,	0.0220686  ,	131.238
252,	-46.8  ,	-27.8045  ,	-2.80594  ,	-2.79222  ,	0.00881428  ,	160.934  ,	0.0239819  ,	150.963
259.2,	-46.8  ,	-27.7877  ,	-4.14421  ,	-4.12548  ,	0.0039486  ,	-165.679  ,	0.021556  ,	172.647
266.4,	-46.8  ,	-29.4978  ,	-6.62884  ,	-6.60647  ,	0.00139887  ,	-105.335  ,	0.0164102  ,	-162.994
273.6,	-46.8  ,	-33.4659  ,	-10.6108  ,	-10.5883  ,	0.000864514  ,	-13.2964  ,	0.0103775  ,	-133.345
280.8,	-46.8  ,	-57.4245  ,	-16.2822  ,	-16.2819  ,	0.000494081  ,	85.7303  ,	0.00538384  ,	-88.7414
288,	-46.8  ,	-32.7153  ,	-19.2939  ,	-19.1007  ,	0.00158386  ,	-163.009  ,	0.00357285  ,	-16.4161
295.2,	-46.8  ,	-32.6691  ,	-16.4591  ,	-16.3564  ,	0.00382312  ,	-126.133  ,	0.00375723  ,	36.2759
302.4,	-46.8  ,	-33.3814  ,	-14.0074  ,	-13.9575  ,	0.00650622  ,	-99.8224  ,	0.00275471  ,	62.9649
309.6,	-46.8  ,	-34.2849  ,	-11.5676  ,	-11.5445  ,	0.00930274  ,	-77.289  ,	0.000685232  ,	5.92278
316.8,	-46.8  ,	-36.9226  ,	-8.93329  ,	-8.92639  ,	0.0119499  ,	-57.2605  ,	0.004024  ,	-49.6994
324,	-46.8  ,	-42.5666  ,	-6.57474  ,	-6.57364  ,	0.0142621  ,	-39.5775  ,	0.00836072  ,	-37.4942
331.2,	-46.8  ,	-57.4871  ,	-4.73673  ,	-4.73671  ,	0.0161345  ,	-24.4788  ,	0.0125252  ,	-24.2063
338.4,	-46.8  ,	-53.9721  ,	-3.4223  ,	-3.42226  ,	0.0175289  ,	-12.3816  ,	0.0160439  ,	-12.7231
345.6,	-46.8  ,	-56.7576  ,	-2.5618  ,	-2.56179  ,	0.0184496  ,	-3.75653  ,	0.018655  ,	-3.98008
352.8,	-46.8  ,	-50.5071  ,	-2.08822  ,	-2.08816  ,	0.0189249  ,	0.982174  ,	0.0202378  ,	1.41787
0,	-43.2  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0202599  ,	1.67763  ,	0.0195144  ,	3.16753
7.2,	-43.2  ,	-34.095  ,	-2.13316  ,	-2.1304  ,	0.019988  ,	-1.77497  ,	0.0189939  ,	1.11928
14.4,	-43.2  ,	-30.9114  ,	-2.62358  ,	-2.61714  ,	0.0193412  ,	-9.06151  ,	0.0174814  ,	-4.62778
21.6,	-43.2  ,	-29.1411  ,	-3.46864  ,	-3.45689  ,	0.0182878  ,	-19.6857  ,	0.0150246  ,	-13.6114
28.8,	-43.2  ,	-28.3926  ,	-4.74584  ,	-4.72713  ,	0.0167505  ,	-33.0763  ,	0.0117279  ,	-25.0709
36,	-43.2  ,	-28.4228  ,	-6.55958  ,	-6.53139  ,	0.0146574  ,	-48.7697  ,	0.00781937  ,	-37.6388
43.2,	-43.2  ,	-29.0293  ,	-8.98015  ,	-8.93742  ,	0.0120212  ,	-66.5668  ,	0.00375237  ,	-46.3134
50.4,	-43.2  ,	-30.1607  ,	-11.8521  ,	-11.7884  ,	0.00899996  ,	-86.7087  ,	0.00112177  ,	15.9956
57.6,	-43.2  ,	-32.3577  ,	-14.5328  ,	-14.4618  ,	0.00589937  ,	-110.38  ,	0.00310554  ,	51.767
64.8,	-43.2  ,	-37.286  ,	-16.5411  ,	-16.5046  ,	0.00313565  ,	-142.019  ,	0.00423512  ,	27.0103
72,	-43.2  ,	-57.3015  ,	-17.7988  ,	-17.7983  ,	0.00130519  ,	157.65  ,	0.00434878  ,	-20.1459
79.2,	-43.2  ,	-35.6786  ,	-15.3721  ,	-15.3318  ,	0.00113454  ,	65.1081  ,	0.00592375  ,	-83.7145
86.4,	-43.2  ,	-32.454  ,	-10.6436  ,	-10.6151  ,	0.0010669  ,	-1.89919  ,	0.0103264  ,	-129.809
93.6,	-43.2  ,	-29.8616  ,	-6.9241  ,	-6.90208  ,	0.00147485  ,	-111.175  ,	0.0158501  ,	-161.443
100.8,	-43.2  ,	-27.2305  ,	-4.48363  ,	-4.46062  ,	0.00451516  ,	-166.875  ,	0.0205961  ,	172.845
108,	-43.2  ,	-25.157  ,	-3.07887  ,	-3.05204  ,	0.00972926  ,	162.537  ,	0.0228091  ,	150.016
115.2,	-43.2  ,	-24.3128  ,	-2.30588  ,	-2.2786  ,	0.0171616  ,	138.172  ,	0.0209824  ,	128.91
122.4,	-43.2  ,	-25.5452  ,	-1.31399  ,	-1.29763  ,	0.0268565  ,	116.881  ,	0.0141321  ,	108.34
129.6,	-43.2  ,	-28.5682  ,	0.807557  ,	0.812569  ,	0.0386236  ,	97.9457  ,	0.00232451  ,	63.475
136.8,	-43.2  ,	-29.1045  ,	3.70677  ,	3.70904  ,	0.0519435  ,	81.2477  ,	0.014791  ,	-93.7718
144,	-43.2  ,	-25.5637  ,	6.49179  ,	6.4945  ,	0.0659682  ,	66.8482  ,	0.0344625  ,	-109.667
151.2,	-43.2  ,	-21.5098  ,	8.77203  ,	8.7761  ,	0.079619  ,	54.8574  ,	0.055031  ,	-121.393
158.4,	-43.2  ,	-18.3866  ,	10.4884  ,	10.494  ,	0.0917529  ,	45.3875  ,	0.0741244  ,	-130.395
165.6,	-43.2  ,	-16.2715  ,	11.6748  ,	11.6818  ,	0.101335  ,	38.5342  ,	0.0895563  ,	-136.843
172.8,	-43.2  ,	-15.0413  ,	12.3748  ,	12.3827  ,	0.107568  ,	34.3669  ,	0.0996068  ,	-140.742
180,	-43.2  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.109949  ,	32.9226  ,	0.103186  ,	-142.083
187.2,	-43.2  ,	-14.9437  ,	12.4177  ,	12.4257  ,	0.108287  ,	34.2029  ,	0.0999018  ,	-140.874
194.4,	-43.2  ,	-16.1124  ,	11.762  ,	11.7691  ,	0.102694  ,	38.1738  ,	0.0900812  ,	-137.16
201.6,	-43.2  ,	-18.2964  ,	10.6224  ,	10.628  ,	0.093588  ,	44.7699  ,	0.0747674  ,	-131.024
208.8,	-43.2  ,	-21.944  ,	8.95621  ,	8.95973  ,	0.0816907  ,	53.902  ,	0.055667  ,	-122.588
216,	-43.2  ,	-28.3379  ,	6.72738  ,	6.72873  ,	0.0679874  ,	65.4683  ,	0.0349879  ,	-112.046
223.2,	-43.2  ,	-45.5948  ,	3.98055  ,	3.98059  ,	0.053628  ,	79.37  ,	0.0151379  ,	-99.9022
230.4,	-43.2  ,	-40.9752  ,	1.05798  ,	1.05826  ,	0.0397666  ,	95.5406  ,	0.00171514  ,	106.132
237.6,	-43.2  ,	-54.5155  ,	-1.19503  ,	-1.19501  ,	0.0273852  ,	114.006  ,	0.0138948  ,	113.699
244.8,	-43.2  ,	-32.5495  ,	-2.33651  ,	-2.33238  ,	0.0171588  ,	135.044  ,	0.0207681  ,	131.445
252,	-43.2  ,	-28.7374  ,	-3.19359  ,	-3.18149  ,	0.00941034  ,	159.694  ,	0.0225455  ,	151.173
259.2,	-43.2  ,	-28.4113  ,	-4.65121  ,	-4.63298  ,	0.00416965  ,	-168.062  ,	0.020246  ,	172.856
266.4,	-43.2  ,	-29.9823  ,	-7.1833  ,	-7.16056  ,	0.00137932  ,	-108.611  ,	0.0153902  ,	-162.77
273.6,	-43.2  ,	-33.8608  ,	-11.1927  ,	-11.1693  ,	0.000850129  ,	-10.2997  ,	0.00970251  ,	-133.018
280.8,	-43.2  ,	-61.8649  ,	-16.8965  ,	-16.8964  ,	0.000513574  ,	88.9521  ,	0.00501095  ,	-87.8581
288,	-43.2  ,	-32.352  ,	-19.6383  ,	-19.4118  ,	0.00166571  ,	-160.968  ,	0.00338281  ,	-14.6196
295.2,	-43.2  ,	-32.5628  ,	-16.3746  ,	-16.2714  ,	0.00403432  ,	-124.557  ,	0.003609  ,	37.6983
302.4,	-43.2  ,	-33.9033  ,	-13.6232  ,	-13.5827  ,	0.00687734  ,	-98.637  ,	0.00266854  ,	64.8373
309.6,	-43.2  ,	-35.7751  ,	-11.0797  ,	-11.065  ,	0.0098407  ,	-76.4433  ,	0.000573134  ,	13.7761
316.8,	-43.2  ,	-39.6506  ,	-8.54681  ,	-8.54344  ,	0.0126455  ,	-56.7017  ,	0.0037068  ,	-50.7847
324,	-43.2  ,	-48.6531  ,	-6.33243  ,	-6.33217  ,	0.0150978  ,	-39.2456  ,	0.0078098  ,	-38.1707
331.2,	-43.2  ,	-54.5917  ,	-4.6056  ,	-4.60555  ,	0.0170911  ,	-24.3087  ,	0.0117426  ,	-24.6975
338.4,	-43.2  ,	-47.0545  ,	-3.36327  ,	-3.36309  ,	0.018589  ,	-12.3093  ,	0.015062  ,	-13.0751
345.6,	-43.2  ,	-50.3396  ,	-2.5443  ,	-2.54423  ,	0.0195971  ,	-3.72417  ,	0.0175254  ,	-4.19416
352.8,	-43.2  ,	-53.0016  ,	-2.089  ,	-2.08897  ,	0.0201419  ,	1.02455  ,	0.0190232  ,	1.35131
0,	-39.6  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0214449  ,	1.76275  ,	0.0182043  ,	3.27164
7.2,	-39.6  ,	-33.8725  ,	-2.11439  ,	-2.1115  ,	0.0211977  ,	-1.59191  ,	0.0177274  ,	1.4146
14.4,	-39.6  ,	-30.6841  ,	-2.56656  ,	-2.55987  ,	0.0205488  ,	-8.7477  ,	0.0163233  ,	-4.12937
21.6,	-39.6  ,	-28.9667  ,	-3.34943  ,	-3.33753  ,	0.0194627  ,	-19.2079  ,	0.0140355  ,	-12.8869
28.8,	-39.6  ,	-28.2885  ,	-4.53308  ,	-4.51482  ,	0.0178569  ,	-32.3962  ,	0.0109637  ,	-24.0626
36,	-39.6  ,	-28.3605  ,	-6.21406  ,	-6.18765  ,	0.0156535  ,	-47.8395  ,	0.00732664  ,	-36.1741
43.2,	-39.6  ,	-28.8751  ,	-8.4716  ,	-8.4322  ,	0.0128636  ,	-65.3234  ,	0.00356141  ,	-43.7389
50.4,	-39.6  ,	-29.5718  ,	-11.2464  ,	-11.183  ,	0.00965179  ,	-85.061  ,	0.00118581  ,	14.05
57.6,	-39.6  ,	-30.7291  ,	-14.1558  ,	-14.0612  ,	0.00634138  ,	-108.164  ,	0.00292029  ,	49.3733
64.8,	-39.6  ,	-33.9568  ,	-16.6927  ,	-16.6119  ,	0.00337338  ,	-138.818  ,	0.0039638  ,	25.3688
72,	-39.6  ,	-51.2648  ,	-18.1996  ,	-18.1975  ,	0.00136989  ,	162.718  ,	0.00411441  ,	-21.5316
79.2,	-39.6  ,	-36.597  ,	-15.7668  ,	-15.7311  ,	0.00114923  ,	68.5526  ,	0.00564461  ,	-83.9901
