Theta,	Phi,	Horizontal Power Gain,	Vertical Power Gain,	Total Power Gain,	etheta_magnitude,	etheta_phase,	ephi_magnitude,	ephi_phase
122.4,	-3.6  ,	-24.2401  ,	0.507701  ,	0.522232  ,	0.0373069  ,	113.053  ,	0.00292623  ,	160.794
129.6,	-3.6  ,	-28.4761  ,	3.65446  ,	3.65712  ,	0.0536694  ,	95.6369  ,	0.00135481  ,	174.227
136.8,	-3.6  ,	-51.3369  ,	6.21543  ,	6.21543  ,	0.072052  ,	80.142  ,	0.00179453  ,	-102.911
144,	-3.6  ,	-28.0425  ,	8.27335  ,	8.27436  ,	0.0912569  ,	66.7211  ,	0.00420895  ,	-93.8895
151.2,	-3.6  ,	-21.521  ,	9.88585  ,	9.88899  ,	0.109812  ,	55.5199  ,	0.00670327  ,	-98.2552
158.4,	-3.6  ,	-18.0855  ,	11.0967  ,	11.102  ,	0.126194  ,	46.6671  ,	0.008871  ,	-103.591
165.6,	-3.6  ,	-16.0772  ,	11.9404  ,	11.9473  ,	0.139041  ,	40.2683  ,	0.0104693  ,	-107.74
172.8,	-3.6  ,	-14.9886  ,	12.4424  ,	12.4503  ,	0.147312  ,	36.4002  ,	0.0113505  ,	-109.963
180,	-3.6  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.15035  ,	35.1054  ,	0.0114494  ,	-109.88
187.2,	-3.6  ,	-14.8459  ,	12.4742  ,	12.4823  ,	0.147902  ,	36.3884  ,	0.0107718  ,	-107.23
194.4,	-3.6  ,	-15.7091  ,	12.0021  ,	12.0095  ,	0.140123  ,	40.2146  ,	0.00938966  ,	-101.768
201.6,	-3.6  ,	-17.2868  ,	11.1843  ,	11.1905  ,	0.127584  ,	46.513  ,	0.00744381  ,	-93.1267
208.8,	-3.6  ,	-19.8077  ,	9.9922  ,	9.99674  ,	0.111271  ,	55.1819  ,	0.00514755  ,	-80.3701
216,	-3.6  ,	-23.8275  ,	8.38744  ,	8.39005  ,	0.0925367  ,	66.0974  ,	0.00279308  ,	-59.5991
223.2,	-3.6  ,	-31.2603  ,	6.32085  ,	6.32161  ,	0.0729541  ,	79.1228  ,	0.000989866  ,	2.29588
230.4,	-3.6  ,	-46.9053  ,	3.72733  ,	3.72737  ,	0.054096  ,	94.1205  ,	0.00169221  ,	99.5189
237.6,	-3.6  ,	-31.1219  ,	0.512438  ,	0.515417  ,	0.0372879  ,	110.971  ,	0.00279029  ,	131.57
244.8,	-3.6  ,	-27.8438  ,	-3.47978  ,	-3.46391  ,	0.0234184  ,	129.61  ,	0.00329465  ,	155.522
252,	-3.6  ,	-27.4161  ,	-8.54664  ,	-8.49066  ,	0.0128707  ,	150.14  ,	0.003181  ,	179.004
259.2,	-3.6  ,	-29.1312  ,	-15.3431  ,	-15.1652  ,	0.00558486  ,	173.288  ,	0.00257096  ,	-155.604
266.4,	-3.6  ,	-36.7759  ,	-24.9092  ,	-24.6354  ,	0.0012162  ,	-154.504  ,	0.00167073  ,	-124.283
273.6,	-3.6  ,	-33.5633  ,	-31.9818  ,	-29.6907  ,	0.000800804  ,	31.5047  ,	0.000831914  ,	-68.6407
280.8,	-3.6  ,	-33.844  ,	-29.7297  ,	-28.3065  ,	0.00102197  ,	89.093  ,	0.000888495  ,	24.1034
288,	-3.6  ,	-29.7905  ,	-25.4946  ,	-24.1214  ,	0.00165397  ,	-171.875  ,	0.00143924  ,	71.9743
295.2,	-3.6  ,	-28.795  ,	-17.998  ,	-17.6508  ,	0.00427433  ,	-124.688  ,	0.00174858  ,	104.777
302.4,	-3.6  ,	-28.0544  ,	-12.9598  ,	-12.8275  ,	0.00785841  ,	-97.3779  ,	0.00173194  ,	136.893
309.6,	-3.6  ,	-27.8071  ,	-9.45748  ,	-9.39443  ,	0.0118501  ,	-75.5905  ,	0.00152502  ,	174.704
316.8,	-3.6  ,	-27.9884  ,	-6.95977  ,	-6.92564  ,	0.0158121  ,	-56.6787  ,	0.00141697  ,	-139.169
324,	-3.6  ,	-28.5834  ,	-5.17573  ,	-5.15596  ,	0.0193973  ,	-40.0233  ,	0.00159849  ,	-95.2594
331.2,	-3.6  ,	-29.7419  ,	-3.91855  ,	-3.9072  ,	0.0223912  ,	-25.6155  ,	0.00190861  ,	-62.6888
338.4,	-3.6  ,	-31.8936  ,	-3.05259  ,	-3.04692  ,	0.0247194  ,	-13.7365  ,	0.00214227  ,	-38.5434
345.6,	-3.6  ,	-36.1992  ,	-2.47743  ,	-2.47558  ,	0.0264045  ,	-4.82598  ,	0.00223628  ,	-19.0016
352.8,	-3.6  ,	-50.041  ,	-2.1251  ,	-2.12503  ,	0.0275007  ,	0.648455  ,	0.00222203  ,	-2.22182
0,	0  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.028125  ,	2.38523  ,	0.000510402  ,	48.1189
7.2,	0  ,	-32.6771  ,	-1.95337  ,	-1.9497  ,	0.0281408  ,	0.308553  ,	0.000828372  ,	81.5742
14.4,	0  ,	-29.6139  ,	-2.13176  ,	-2.12401  ,	0.0275686  ,	-5.4878  ,	0.0011753  ,	92.1076
21.6,	0  ,	-28.4473  ,	-2.53287  ,	-2.52176  ,	0.0263207  ,	-14.6066  ,	0.00141113  ,	94.5944
28.8,	0  ,	-28.7688  ,	-3.23039  ,	-3.21828  ,	0.024282  ,	-26.5563  ,	0.00148588  ,	93.6122
36,	0  ,	-30.58  ,	-4.33418  ,	-4.32388  ,	0.021374  ,	-40.91  ,	0.00139988  ,	90.9052
43.2,	0  ,	-34.1016  ,	-5.99328  ,	-5.98657  ,	0.0176478  ,	-57.4402  ,	0.00119292  ,	86.869
50.4,	0  ,	-39.537  ,	-8.41379  ,	-8.41044  ,	0.0133494  ,	-76.2634  ,	0.000918453  ,	79.8159
57.6,	0  ,	-44.6931  ,	-11.9176  ,	-11.9153  ,	0.00891649  ,	-98.2126  ,	0.000621024  ,	62.4416
64.8,	0  ,	-41.6336  ,	-17.0807  ,	-17.0655  ,	0.00492067  ,	-126.423  ,	0.000437569  ,	11.6103
72,	0  ,	-35.935  ,	-24.3568  ,	-24.0649  ,	0.00208367  ,	-174.928  ,	0.000726876  ,	-47.3717
79.2,	0  ,	-54.7089  ,	-25.4675  ,	-25.4624  ,	0.0013334  ,	99.857  ,	0.00132368  ,	-76.1901
86.4,	0  ,	-37.4638  ,	-24.3005  ,	-24.0958  ,	0.000902578  ,	49.4315  ,	0.0020052  ,	-96.5153
93.6,	0  ,	-32.197  ,	-21.9704  ,	-21.5766  ,	0.00128894  ,	-160.264  ,	0.00264111  ,	-114.712
100.8,	0  ,	-23.4721  ,	-15.075  ,	-14.4883  ,	0.00587527  ,	174.608  ,	0.00310767  ,	-131.888
108,	0  ,	-21.9286  ,	-8.419  ,	-8.22963  ,	0.0132608  ,	152.179  ,	0.00328829  ,	-147.919
115.2,	0  ,	-21.9209  ,	-3.42125  ,	-3.36032  ,	0.0237323  ,	131.54  ,	0.00309103  ,	-162.24
122.4,	0  ,	-23.4308  ,	0.505455  ,	0.522965  ,	0.0373428  ,	112.561  ,	0.00247266  ,	-173.649
129.6,	0  ,	-27.6061  ,	3.67028  ,	3.67352  ,	0.0537679  ,	95.324  ,	0.0014699  ,	-177.651
136.8,	0  ,	-46.0351  ,	6.23348  ,	6.23351  ,	0.0722227  ,	79.9723  ,	0.000509672  ,	-120.217
144,	0  ,	-28.2767  ,	8.28831  ,	8.28926  ,	0.0914966  ,	66.6624  ,	0.00161323  ,	-55.947
151.2,	0  ,	-21.5533  ,	9.89646  ,	9.89957  ,	0.110107  ,	55.5436  ,	0.0031237  ,	-53.8262
158.4,	0  ,	-18.0837  ,	11.1034  ,	11.1086  ,	0.126521  ,	46.7488  ,	0.00450037  ,	-55.7471
165.6,	0  ,	-16.072  ,	11.9439  ,	11.9507  ,	0.139379  ,	40.3887  ,	0.00558608  ,	-57.0721
172.8,	0  ,	-14.9865  ,	12.4438  ,	12.4516  ,	0.147637  ,	36.5444  ,	0.0062862  ,	-56.7151
180,	0  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.150642  ,	35.2623  ,	0.0065571  ,	-54.1782
187.2,	0  ,	-14.8432  ,	12.4737  ,	12.4817  ,	0.148146  ,	36.5488  ,	0.00639908  ,	-49.0756
194.4,	0  ,	-15.6961  ,	12.0015  ,	12.0089  ,	0.140306  ,	40.37  ,	0.00585046  ,	-40.9717
201.6,	0  ,	-17.2517  ,	11.1839  ,	11.1901  ,	0.127698  ,	46.653  ,	0.00498618  ,	-29.2267
208.8,	0  ,	-19.7305  ,	9.99188  ,	9.99651  ,	0.111318  ,	55.2931  ,	0.00392173  ,	-12.6673
216,	0  ,	-23.6656  ,	8.38645  ,	8.38916  ,	0.0925262  ,	66.1613  ,	0.00282381  ,	11.2377
223.2,	0  ,	-30.8531  ,	6.31719  ,	6.31803  ,	0.072905  ,	79.1144  ,	0.00193623  ,	47.6608
230.4,	0  ,	-49.3223  ,	3.71653  ,	3.71655  ,	0.0540327  ,	94.0072  ,	0.0015585  ,	98.4425
237.6,	0  ,	-31.2719  ,	0.484351  ,	0.487249  ,	0.0372344  ,	110.708  ,	0.00165149  ,	146.385
244.8,	0  ,	-27.7157  ,	-3.5504  ,	-3.53379  ,	0.0233915  ,	129.132  ,	0.00178549  ,	-176.513
252,	0  ,	-26.9674  ,	-8.73425  ,	-8.66951  ,	0.012873  ,	149.319  ,	0.00172239  ,	-143.96
259.2,	0  ,	-27.9102  ,	-15.9596  ,	-15.6909  ,	0.00560276  ,	171.754  ,	0.00144921  ,	-109.873
266.4,	0  ,	-30.198  ,	-29.1995  ,	-26.6598  ,	0.00121681  ,	-159.461  ,	0.00109488  ,	-66.8621
273.6,	0  ,	-37.7205  ,	-29.7398  ,	-29.0982  ,	0.000810293  ,	35.6383  ,	0.000933639  ,	-8.41421
280.8,	0  ,	-36.0755  ,	-27.6036  ,	-27.0263  ,	0.00108611  ,	88.2293  ,	0.00113268  ,	46.8665
288,	0  ,	-28.0598  ,	-26.5607  ,	-24.2356  ,	0.00161248  ,	-175.918  ,	0.001443  ,	86.5489
295.2,	0  ,	-27.6117  ,	-18.4539  ,	-17.9563  ,	0.00414316  ,	-126.197  ,	0.00164711  ,	118.637
302.4,	0  ,	-27.1448  ,	-13.1784  ,	-13.0076  ,	0.00769901  ,	-98.2098  ,	0.00168798  ,	148.799
309.6,	0  ,	-27.073  ,	-9.57032  ,	-9.49382  ,	0.0117016  ,	-76.1763  ,	0.00161022  ,	179.728
316.8,	0  ,	-27.4009  ,	-7.02141  ,	-6.9818  ,	0.0157014  ,	-57.1465  ,	0.00150329  ,	-148.246
324,	0  ,	-28.129  ,	-5.212  ,	-5.18987  ,	0.0193353  ,	-40.4196  ,	0.00141835  ,	-117.484
331.2,	0  ,	-29.4005  ,	-3.94239  ,	-3.93005  ,	0.0223745  ,	-25.9518  ,	0.00131964  ,	-90.7801
338.4,	0  ,	-31.6349  ,	-3.07003  ,	-3.06399  ,	0.0247372  ,	-14.0046  ,	0.00113877  ,	-68.1921
345.6,	0  ,	-35.9811  ,	-2.49022  ,	-2.48828  ,	0.0264465  ,	-5.00697  ,	0.000854048  ,	-45.9675
352.8,	0  ,	-49.639  ,	-2.13244  ,	-2.13236  ,	0.0275617  ,	0.574456  ,	0.000544824  ,	-11.7382
0,	3.6  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0280919  ,	2.43203  ,	0.00145684  ,	167.885
7.2,	3.6  ,	-32.6687  ,	-1.94597  ,	-1.9423  ,	0.0281177  ,	0.48027  ,	0.001827  ,	153.779
14.4,	3.6  ,	-29.6248  ,	-2.1191  ,	-2.11139  ,	0.0275494  ,	-5.20189  ,	0.00215709  ,	142.076
21.6,	3.6  ,	-28.5042  ,	-2.51895  ,	-2.50802  ,	0.0262959  ,	-14.232  ,	0.00234564  ,	131.306
28.8,	3.6  ,	-28.9267  ,	-3.22072  ,	-3.20906  ,	0.0242429  ,	-26.1332  ,	0.00231562  ,	120.756
36,	3.6  ,	-30.9696  ,	-4.33476  ,	-4.32535  ,	0.0213189  ,	-40.4891  ,	0.00203914  ,	110.141
43.2,	3.6  ,	-35.0841  ,	-6.00925  ,	-6.00388  ,	0.0175841  ,	-57.0758  ,	0.0015565  ,	99.3447
50.4,	3.6  ,	-42.3383  ,	-8.44724  ,	-8.44547  ,	0.0132917  ,	-76.0075  ,	0.000970455  ,	87.8463
57.6,	3.6  ,	-52.3283  ,	-11.962  ,	-11.9616  ,	0.00888092  ,	-98.1092  ,	0.000414161  ,	70.0025
64.8,	3.6  ,	-46.0978  ,	-17.104  ,	-17.0986  ,	0.00491816  ,	-126.488  ,	0.000176092  ,	-29.107
72,	3.6  ,	-37.2766  ,	-24.423  ,	-24.2035  ,	0.00211187  ,	-174.747  ,	0.000507007  ,	-67.2216
79.2,	3.6  ,	-51.388  ,	-26.6942  ,	-26.6794  ,	0.00134227  ,	101.992  ,	0.000930392  ,	-70.8856
86.4,	3.6  ,	-34.8462  ,	-26.8047  ,	-26.1714  ,	0.000898168  ,	53.9263  ,	0.00148041  ,	-75.5209
93.6,	3.6  ,	-28.9664  ,	-24.3805  ,	-23.0841  ,	0.00128144  ,	-165.157  ,	0.00211232  ,	-84.489
100.8,	3.6  ,	-22.3189  ,	-15.6242  ,	-14.7818  ,	0.00583176  ,	172.914  ,	0.00269819  ,	-96.7532
108,	3.6  ,	-21.2667  ,	-8.53636  ,	-8.31072  ,	0.0131813  ,	151.108  ,	0.00307611  ,	-111.034
